Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
C1,302010037,1
C2,302010037,1
C3,302010037,1
C4,302010053,1
C5,302010019,1
C6,302010019,1
D1,304090150,1
D2,304010007,1
D3,304090042,1
J1,320030106,1
Q1,305010013,1
R1,301010418,1
R2,301010418,1
R3,301010418,1
R4,301010247,1
R9,301010300,1
R5,301010299,1
R6,301010299,1
R7,301010299,1
R8,301010299,1
R11,301010299,1
R12,301010299,1
R10,301010113,1
SW1,311030001,1
U1,314080008,1
U2,314160001,1
U3,310030238,1
USB1,320010003,1
